iter	Logloss
0	0.6739186069
1	0.6575387433
2	0.6451047311
3	0.6331577062
4	0.6227670672
5	0.6135892638
6	0.6038932541
7	0.5977221383
8	0.5910190016
9	0.5857328854
10	0.5814800799
11	0.5770156236
12	0.5731160003
13	0.5695381039
14	0.5662334806
15	0.5637898472
16	0.5603317351
17	0.5577442745
18	0.5547708014
19	0.5530622681
20	0.5509336639
21	0.5483127266
22	0.5468645716
23	0.545536143
24	0.544073219
25	0.5426473702
26	0.5419392299
27	0.5406075158
28	0.5390756716
29	0.5376958316
30	0.5368261537
31	0.5358449031
32	0.5348945362
33	0.5340370624
34	0.5332311466
35	0.532449993
36	0.5317609613
37	0.5310359285
38	0.5302417578
39	0.5295027734
40	0.529126488
41	0.5285098775
42	0.5280516131
43	0.5274313326
44	0.5269840519
45	0.5266438834
46	0.5263268065
47	0.5259957874
48	0.5252210847
49	0.5248650111
50	0.524248192
51	0.5238120588
52	0.5234121088
53	0.5230492371
54	0.522729847
55	0.5223536831
56	0.5217776326
57	0.5213818674
58	0.5208668376
59	0.5205695332
60	0.5201094719
61	0.5197944823
62	0.5194409778
63	0.5192687554
64	0.5190435441
65	0.5188105046
66	0.5184857926
67	0.5179511043
68	0.5176760871
69	0.5174305373
70	0.5170265384
71	0.516724555
72	0.5164103829
73	0.5161537272
74	0.5158087226
75	0.5154216319
76	0.515168523
77	0.5148115608
78	0.514525469
79	0.5142497637
80	0.5140094628
81	0.5138753747
82	0.513600693
83	0.5134537059
84	0.5131001483
85	0.51283065
86	0.5125820909
87	0.5122919025
88	0.5119844089
89	0.5116836698
90	0.5114134528
91	0.5110752762
92	0.5109657204
93	0.5107968846
94	0.5106200959
95	0.510423412
96	0.5102722912
97	0.5097021294
98	0.5093929743
99	0.5091570485
100	0.5089336494
101	0.5086971522
102	0.5085226484
103	0.5082070352
104	0.5079818657
105	0.5078132263
106	0.5075529355
107	0.5072063347
108	0.5069778004
109	0.5067172007
110	0.5064702634
111	0.5062835127
112	0.5060930573
113	0.5059245293
114	0.5055796227
115	0.5054204355
116	0.5050337609
117	0.5048580334
118	0.5046879283
119	0.5044308204
120	0.5042884882
121	0.504033301
122	0.5037146002
123	0.5035528241
124	0.5033525691
125	0.5031314126
126	0.5028364486
127	0.5027084582
128	0.5022922597
129	0.5021827133
130	0.5019913138
131	0.5017403076
132	0.5015981504
133	0.5013544151
134	0.5010666599
135	0.5008059535
136	0.5005608268
137	0.5003079983
138	0.5000981542
139	0.4998749492
140	0.499637098
141	0.4993911515
142	0.4991149473
143	0.4988353974
144	0.4984934955
145	0.4983681133
146	0.4980871109
147	0.4978381816
148	0.4974614495
149	0.4971734975
150	0.4969378747
151	0.496773978
152	0.4965465587
153	0.4962424721
154	0.4959564041
155	0.4956757939
156	0.4953146105
157	0.4950590163
158	0.4947883338
159	0.4944610937
160	0.4942329572
161	0.4938926201
162	0.493660065
163	0.4934050586
164	0.4931165602
165	0.492882792
166	0.4926220675
167	0.4922134391
168	0.4919630449
169	0.4917850404
170	0.4916246914
171	0.4914051822
172	0.4911578105
173	0.4908455622
174	0.4905735871
175	0.4903991294
176	0.4901145207
177	0.489918699
178	0.4896687916
179	0.48955407
180	0.4893027638
181	0.4890144755
182	0.488718706
183	0.4884749169
184	0.4882955927
185	0.4880256377
186	0.4878199671
187	0.4874516459
188	0.4872020061
189	0.4869574914
190	0.4867635666
191	0.4864990159
192	0.486274161
193	0.4860078236
194	0.4857300672
195	0.4855392762
196	0.4853147112
197	0.485087807
198	0.4849017561
199	0.4847543063
200	0.4844674077
201	0.484208562
202	0.4838869426
203	0.4836923442
204	0.4834911938
205	0.4832818041
206	0.4831158196
207	0.4828140628
208	0.4826600422
209	0.4823518315
210	0.4821427171
211	0.4818819651
212	0.4815841517
213	0.4813765087
214	0.4812504404
215	0.4810006799
216	0.4807372354
217	0.4805370706
218	0.4803547329
219	0.4801199604
220	0.4799715084
221	0.4798093497
222	0.4796038563
223	0.4793322182
224	0.4790549838
225	0.4789013507
226	0.4787240155
227	0.4785650787
228	0.4783995525
229	0.4781703653
230	0.4778993307
231	0.4776769058
232	0.4773921037
233	0.4771407407
234	0.4768899507
235	0.4766244736
236	0.4763950071
237	0.4761464793
238	0.4759549674
239	0.4756496787
240	0.4754251126
241	0.4752204256
242	0.4749513008
243	0.4747676363
244	0.4745567092
245	0.4743423031
246	0.4741239346
247	0.4739522895
248	0.4738277058
249	0.4735697425
250	0.4733678555
251	0.4732099298
252	0.4729806995
253	0.4727906786
254	0.4726808821
255	0.4725448468
256	0.4723456526
257	0.4720739948
258	0.4718242434
259	0.4716442869
260	0.4713881117
261	0.4712666499
262	0.4711808028
263	0.4709776126
264	0.4708804961
265	0.4707277396
266	0.4705001053
267	0.4703103139
268	0.4701586296
269	0.4699642795
270	0.4698273513
271	0.4695872963
272	0.4693377343
273	0.469051658
274	0.4688089026
275	0.4686127761
276	0.4683754587
277	0.4681168595
278	0.467917889
279	0.4677362839
280	0.4675122224
281	0.4673561294
282	0.4671886612
283	0.4670201957
284	0.4668516446
285	0.4666392381
286	0.4665001541
287	0.4662711696
288	0.4660661312
289	0.4658435988
290	0.4656864054
291	0.4654609591
292	0.4652748514
293	0.4651533288
294	0.4649713767
295	0.4647784548
296	0.4645119536
297	0.4642613879
298	0.4641353524
299	0.4639212967
300	0.4637275195
301	0.4635478165
302	0.4634248936
303	0.4631726418
304	0.4630281107
305	0.4628333009
306	0.4626378048
307	0.4625045476
308	0.4623168161
309	0.4621775711
310	0.4620804766
311	0.4619031946
312	0.4617224162
313	0.4615371233
314	0.4612668906
315	0.4610424793
316	0.460860736
317	0.4606274116
318	0.4603676335
319	0.4601967635
320	0.4600023684
321	0.4598723738
322	0.4596350519
323	0.4595061067
324	0.4593578657
325	0.4591214179
326	0.4589045575
327	0.4587915561
328	0.4585942293
329	0.4583728463
330	0.4582752893
331	0.4581186837
332	0.457948273
333	0.4577830471
334	0.4575880319
335	0.4573985764
336	0.457156506
337	0.4569597876
